ObjectID,GlobalID,Bird ID,Observer,New nest?,Date Found,Expected Hatch Date,Course Name,Habitat Type,Burn Status,Bird Flushed?,Egg Count?,Number of Eggs,Date,Nest Status,Egg Count?,Number of Eggs,Date,Nest Status,Egg Count?,Number of Eggs,Date,Nest Status,Egg Count?,Number of Eggs,Date,Nest Status,Egg Count?,Number of Eggs,Date,Nest Status,Egg Count?,Number of Eggs,Date,Nest Status,Egg Count?,Number of Eggs,Date,Nest Status,Egg Count?,Number of Eggs,Date,Nest Status,Egg Count?,Number of Eggs,Date,Nest Status,Egg Count?,Number of Eggs,Date,Nest Status,Egg Count?,Number of Eggs,Date,Nest Status,Egg Count?,Number of Eggs,Date,Nest Status,Egg Count?,Number of Eggs,Date,Nest Status,Egg Count?,Number of Eggs,Date,Nest Status,Egg Count?,Number of Eggs,Date,Nest Status,Egg Count?,Number of Eggs,Date,Nest Status,Egg Count?,Number of Eggs,Date,Nest Status,Egg Count?,Number of Eggs,Date,Nest Status,Egg Count?,Number of Eggs,Date,Nest Status,Egg Count?,Number of Eggs,Date,Nest Status,Egg Count?,Number of Eggs,Date,Nest Status,Egg Count?,Number of Eggs,Date,Nest Status,Egg Count?,Number of Eggs,Date,Nest Status,Egg Count?,Number of Eggs,Date,Nest Status,Egg Count?,Number of Eggs,Fate Date,Fate Type,Suspected Cause of Fate,Number Hatched,Number Not Hatched,Comments,CreationDate,Creator,EditDate,Editor,x,y
11,d87dd907-5e5c-4dfe-83d9-fe4c046e17b8,164.000_220187,Josh McLellan,yes,5/17/2023 16:00,5/28/2023 16:00,Fence Cove,Upland Pine,Unburned,no,,,5/18/2023 16:00,bird off nest,yes,23,5/19/2023 16:00,bird off nest,yes,23,5/20/2023 16:00,bird on nest,,,5/21/2023 16:00,bird on nest,,,5/22/2023 16:00,bird on nest,,,5/23/2023 16:00,bird off nest,yes,23,5/24/2023 16:00,bird on nest,,,5/25/2023 16:00,bird on nest,,,5/26/2023 16:00,bird on nest,,,5/27/2023 16:00,bird on nest,,,5/28/2023 16:00,bird on nest,,,5/29/2023 16:00,fate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5/29/2023 14:23,Failed,Mammal,,,,5/18/2023 13:40,gamebird.crew,5/29/2023 14:24,gamebird.crew,-78.02738745,34.03247143
12,f99a633b-f1dd-406a-9597-7138cad6225f,163.415_220632,Josh McLellan,yes,5/16/2023 16:00,6/7/2023 16:00,Fence Cove,Upland Pine,Unburned,no,,,5/17/2023 16:00,bird off nest,yes,23,5/18/2023 16:00,bird on nest,,,5/19/2023 16:00,bird on nest,,,5/20/2023 16:00,bird off nest,yes,25,5/21/2023 16:00,bird off nest,yes,25,5/22/2023 16:00,bird off nest,yes,25,5/23/2023 16:00,bird off nest,yes,25,5/24/2023 16:00,bird off nest,yes,25,5/25/2023 16:00,fate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5/25/2023 14:27,Failed,Abandoned,,,,5/18/2023 13:48,gamebird.crew,5/25/2023 14:27,gamebird.crew,-78.01709199,34.03947185
13,d4e42ba7-2d48-4f5d-b48c-8a4c57407c55,164.044_230803,Josh McLellan,yes,5/18/2023 16:00,6/9/2023 16:00,Allen's Creek,Upland Pine,Unburned,no,,,5/19/2023 16:00,bird on nest,,,5/20/2023 16:00,fate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5/20/2023 16:00,Failed,Fire Ants,,,"1 egg may have hatched, others are unhatched with a couple cracks woth fire ants",5/18/2023 14:10,gamebird.crew,5/21/2023 14:49,gamebird.crew,-78.01261721,34.04589977
15,c088cdaf-acc4-4725-8fff-77b67815d703,164.238_230839,Autumn Randall,yes,5/22/2023 16:00,6/13/2023 16:00,Fence Cove,Grass Field,Unburned,yes,yes,19,5/23/2023 16:00,bird on nest,,,5/24/2023 16:00,bird on nest,,,5/25/2023 16:00,bird on nest,,,5/26/2023 16:00,bird on nest,,,5/27/2023 16:00,bird on nest,,,5/28/2023 16:00,bird on nest,,,5/29/2023 16:00,bird on nest,,,5/30/2023 16:00,bird on nest,,,5/31/2023 16:00,bird on nest,,,6/1/2023 16:00,bird on nest,,,6/2/2023 16:00,bird on nest,,,6/3/2023 16:00,bird on nest,,,6/4/2023 16:00,bird on nest,,,6/5/2023 16:00,bird on nest,,,6/6/2023 16:00,bird on nest,,,6/7/2023 16:00,fate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/7/2023 12:42,Hatched,,16,1,,5/22/2023 16:12,gamebird.crew,6/7/2023 12:42,gamebird.crew,-78.02744416,34.04577234
16,20869421-3314-4406-b3bf-c370cd2b5c5f,164.845_220948,Josh McLellan,yes,5/22/2023 16:00,6/13/2023 16:00,Big Bay,Upland Pine,Unburned,no,,,5/23/2023 16:00,bird off nest,yes,1,5/24/2023 16:00,bird off nest,yes,1,5/25/2023 16:00,fate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5/25/2023 16:00,Failed,Abandoned,,,,5/22/2023 18:13,gamebird.crew,7/8/2023 14:44,gamebird.crew,-77.97937743,34.06984284
18,58921d0b-8182-4b0f-8b93-d4061c60d36c,163.271_220140,Autumn Randall,yes,5/23/2023 16:00,6/14/2023 16:00,Allen's Creek,Upland Pine,Unburned,no,,,5/24/2023 16:00,bird on nest,,,5/25/2023 16:00,bird on nest,,,5/26/2023 16:00,bird on nest,,,5/27/2023 16:00,bird on nest,,,5/28/2023 16:00,bird on nest,,,5/29/2023 16:00,bird on nest,,,5/30/2023 16:00,bird on nest,,,5/31/2023 16:00,bird on nest,,,6/1/2023 16:00,bird on nest,,,6/2/2023 16:00,bird on nest,,,6/3/2023 16:00,bird on nest,,,6/4/2023 16:00,bird on nest,,,6/5/2023 16:00,bird on nest,,,6/6/2023 16:00,bird on nest,,,6/7/2023 16:00,bird on nest,,,6/8/2023 16:00,bird on nest,,,6/9/2023 16:00,fate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/9/2023 13:04,Failed,Fire Ants,,,Unsure if it was fire ants specifically. Will look into it,5/23/2023 14:03,gamebird.crew,6/9/2023 13:05,gamebird.crew,-78.01054704,34.05071077
19,e998b05c-37eb-4b42-8324-080e45b41080,164.334_220118,Josh McLellan,yes,5/24/2023 16:00,6/15/2023 16:00,Fence Cove,Planted Pine,Unburned,yes,no,,5/25/2023 16:00,bird on nest,,,5/26/2023 16:00,bird on nest,,,5/27/2023 16:00,bird on nest,,,5/28/2023 16:00,bird on nest,,,5/29/2023 16:00,bird on nest,,,5/30/2023 16:00,bird on nest,,,5/31/2023 16:00,bird on nest,,,6/1/2023 16:00,bird on nest,,,6/2/2023 16:00,bird on nest,,,6/3/2023 16:00,bird on nest,,,6/4/2023 16:00,bird on nest,,,6/5/2023 16:00,bird on nest,,,6/6/2023 16:00,bird on nest,,,6/7/2023 16:00,bird on nest,,,6/8/2023 16:00,bird on nest,,,6/9/2023 16:00,bird on nest,,,6/10/2023 16:00,bird on nest,,,6/11/2023 16:00,bird on nest,,,6/12/2023 16:00,bird on nest,,,6/13/2023 16:00,bird on nest,,,6/14/2023 16:00,bird on nest,,,6/15/2023 16:00,bird on nest,,,6/16/2023 16:00,bird on nest,,,6/17/2023 16:00,fate,,,6/26/2023 14:55,Failed,Mammal,,,"All eggs are gone, the nest appears to have been pulled open, and the mothers collar and band were ~1 foot away from the nest ",5/24/2023 14:20,gamebird.crew,6/26/2023 14:57,gamebird.crew,-78.0253001,34.03653466
20,9757b533-e498-4fb0-b698-531b35d7180b,162.270_231012,Josh McLellan,yes,5/24/2023 16:00,6/15/2023 16:00,Fence Cove,Upland Pine,Unburned,no,,,5/25/2023 16:00,bird on nest,,,5/26/2023 16:00,bird on nest,,,5/27/2023 16:00,bird on nest,,,5/28/2023 16:00,bird on nest,,,5/29/2023 16:00,bird on nest,,,5/30/2023 16:00,bird on nest,,,5/31/2023 16:00,bird on nest,,,6/1/2023 16:00,bird on nest,,,6/2/2023 16:00,bird on nest,,,6/3/2023 16:00,bird on nest,,,6/4/2023 16:00,bird on nest,,,6/5/2023 16:00,bird on nest,,,6/6/2023 16:00,bird on nest,,,6/7/2023 16:00,bird on nest,,,6/8/2023 16:00,bird on nest,,,6/9/2023 16:00,fate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/9/2023 13:03,Hatched,,13,1,One egg was pipped and was depredated by fire ants. ,5/24/2023 16:13,gamebird.crew,6/9/2023 13:05,gamebird.crew,-78.01900684,34.03976898
21,44047098-ba57-48a7-8411-1267cc40c46c,166.482_230210,Pat O'Bryan,yes,5/25/2023 16:00,6/16/2023 16:00,Bill Jones,Upland Pine,Unburned,no,,,5/26/2023 16:00,bird on nest,,,5/27/2023 16:00,bird off nest,yes,20,5/28/2023 16:00,bird on nest,,,5/29/2023 16:00,bird on nest,,,5/30/2023 16:00,bird on nest,,,5/31/2023 16:00,bird on nest,,,6/1/2023 16:00,bird on nest,,,6/2/2023 16:00,fate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/2/2023 14:12,Failed,Snake,,,"No egg shells, nest bowl undisturbed ",5/25/2023 13:55,gamebird.crew,6/2/2023 14:13,gamebird.crew,-78.00464887,34.06021814
22,16633ded-2fd1-4095-99fb-f7b40329948d,164.415_214698,Josh McLellan,yes,5/24/2023 16:00,6/15/2023 16:00,Fence Cove,Planted Pine,Unburned,no,,,5/25/2023 16:00,bird on nest,,,5/26/2023 16:00,bird on nest,,,5/27/2023 16:00,bird on nest,,,5/28/2023 16:00,bird on nest,,,5/29/2023 16:00,bird on nest,,,5/30/2023 16:00,bird on nest,,,5/31/2023 16:00,bird on nest,,,6/1/2023 16:00,bird on nest,,,6/2/2023 16:00,bird on nest,,,6/3/2023 16:00,bird on nest,,,6/4/2023 16:00,bird on nest,,,6/5/2023 16:00,bird on nest,,,6/6/2023 16:00,bird on nest,,,6/7/2023 16:00,bird on nest,,,6/8/2023 16:00,bird on nest,,,6/9/2023 16:00,bird on nest,,,6/10/2023 16:00,bird on nest,,,6/11/2023 16:00,bird on nest,,,6/12/2023 16:00,bird on nest,,,6/13/2023 16:00,bird on nest,,,6/14/2023 16:00,bird on nest,,,6/15/2023 16:00,bird on nest,,,6/16/2023 16:00,fate,,,,,,,6/16/2023 16:00,Hatched,,13,3,,5/25/2023 15:02,gamebird.crew,7/15/2023 21:26,gamebird.crew,-78.02081748,34.04090915
